2PA,2PM,Age,All TD,FGA,FGM,Fbl TD,GS,Games,Int TD,Kr Td,Number of Records,Oth TD,Pr Td,Player,Position,Pts/G,Pts,Rec TD,Rsh TD,Salary,Sfty,Team,XPA,XPM
,,,,,,,,,,,1,,,Genard Avery,LB,,,,,480000,,CLE,,
,,,,,,,,,,,1,,,James Burgess,LB,,,,,555000,,CLE,,
,,,,,,,,,,,1,,,Chris Covington,LB,,,,,480000,,DAL,,
,,,,,,,,,,,1,,,Justin March-Lillard,LB,,,,,630000,,DAL,,
,,,,,,,,,,,1,,,Alexander Johnson,LB,,,,,480000,,DEN,,
,,,,,,,,,,,1,,,Trevor Bates,LB,,,,,129200,,DET,,
,,,,,,,,,,,1,,,Kelvin Sheppard,LB,,,,,484412,,DET,,
,,,,,,,,,,,1,,,James Crawford,LB,,,,,480000,,GNB,,
,,,,,,,,,,,1,,,Reggie Gilbert,LB,,,,,480000,,GNB,,
,,,,,,,,,,,1,,,Josh Keyes,LB,,,,,456176,,HOU,,
,,,,,,,,,,,1,,,Peter Kalambayi,LB,,,,,480000,,HOU,,
,,,,,,,,,,,1,,,Tyrell Adams,LB,,,,,481765,,HOU,,
,,,,,,,,,,,1,,,Brennan Scarlett,LB,,,,,630000,,HOU,,
,,,,,,,,,,,1,,,Darius Leonard,LB,,,,,480000,,IND,,
,,,,,,,,,,,1,,,Matthew Adams,LB,,,,,480000,,IND,,
,,,,,,,,,,,1,,,Zaire Franklin,LB,,,,,480000,,IND,,
,,,,,,,,,,,1,,,Anthony Walker,LB,,,,,555000,,IND,,
,,,,,,,,,,,1,,,Luke Rhodes,LB,,,,,630000,,IND,,
,,,,,,,,,,,1,,,Nick DeLuca,LB,,,,,129200,,JAX,,
,,,,,,,,,,,1,,,Donald Payne,LB,,,,,555000,,JAX,,
,,,,,,,,,,,1,,,Ben Niemann,LB,,,,,480000,,KAN,,
,,,,,,,,,,,1,,,Frank Zombo,LB,,,,,557647,,KAN,,
,,,,,,,,,,,1,,,Terrance Smith,LB,,,,,630000,,KAN,,
,,,,,,,,,,,1,,,Tre'von Johnson,LB,,,,,197645,,LAC,,
,,,,,,,,,,,1,,,Chris Landrum,LB,,,,,555000,,LAC,,
,,,,,,,,,,,1,,,Cory Littleton,LB,,,,,630000,,LAR,,
,,,,,,,,,,,1,,,Chase Allen,LB,,,,,555000,,MIA,,
,,,,,,,,,,,1,,,Devante Downs,LB,,,,,480000,,MIN,,
,,,,,,,,,,,1,,,Nicholas Grigsby,LB,,,,,630000,,NWE,,
,,,,,,,,,,,1,,,Tae Davis,LB,,,,,480000,,NYG,,
,,,,,,,,,,,1,,,Frankie Luvu,LB,,,,,480000,,NYJ,,
,,,,,,,,,,,1,,,Nicholas Morrow,LB,,,,,555000,,OAK,,
,,,,,,,,,,,1,,,Jermaine Grace,LB,,,,,388412,,SEA,,
,,,,,,,,,,,1,,,Austin Calitro,LB,,,,,480000,,SEA,,
,,,,,,,,,,,1,,,Jacob Martin,LB,,,,,480000,,SEA,,
,,,,,,,,,,,1,,,Robert Spillane,LB,,,,,129200,,TEN,,
